,Date,Tweet,sentiment_score
13780,2022-04-26,"P/L: -$48.2K 👎 Tough day.  Yes everything was an obvious short but again no real major pops to get in made it difficult to get in short comfortably.  Tried a few bounces on $TSLA 945, 920, 900 that didn't work, didn't pike the sells when I should have.  $EVOK $NUTX $MSFT padders https://t.co/S1YC7xwcjt",
13781,2022-04-26,Markets crashing and where is Sleepy Joe? $TSLA https://t.co/R45L2u59Il,
13782,2022-04-26,$TSLA getting whacked still in AH's. Down $15 already.,
13783,2022-04-26,"I firmly believe Elon, when he says Tesla will produce and sell 20 million Teslas a year by 2030. 

$TSLA #Tesla",
13784,2022-04-26,The shorts were right. Tesla is a fraud after all $TSLA https://t.co/cOW1Znmsyk,
13785,2022-04-26,Bought more $TSLA today. If we go down tomorrow I’ll be ready to buy a little more.,
13786,2022-04-26,🥰😍 $TSLA This setup is what trading dreams are made of https://t.co/sCqOOUeeob,
13787,2022-04-26,I’m down $1.8 million on $TSLA in one trading day. Holding as always 💪. https://t.co/NL95iEkFOW,
13788,2022-04-26,"For long term investing, $TSLA trading below $900 after the perfect Q1 earnings is just laughable. It is literally the cheapest tech leader we’ve seen since the $400 pre-split $TSLA in March 2020. No financial advice of course. https://t.co/bwvUe3iueF",
13789,2022-04-26,"Real investment gains aren’t made on green days, they are made on red days like today. This is where you earn it. $TSLA",
13790,2022-04-26,"$TSLA closed today at about 60x my 2022 Adjusted EPS forecast. 🤷‍♂️

Tesla is growing earnings by more than 100%. 🤓

A lot of people selling $TSLA in 2022 are going to regret doing so in 2023. Not trading advice. https://t.co/obbfe7HUSt",
13791,2022-04-26,"4 days of trading: $1k ➡️ $17.5k 

Only Day Trades+ Swing Trades with PDT rules so couldn’t take scalps. 
NO earning gambles take. 

Biggest gainers: $TSLA, $QQQ, $SPY Biggest loser: $NFLX

Only open position now is a $BA Strangle for earnings https://t.co/N6746Jz37y",
13792,2022-04-26,"Tesla has paid off all its debts and continues to be wildly profitable, China COVID issues will end at some point in the short term. This is a very tough market but Tesla is the best company out there. $TSLA",
13793,2022-04-26,"If you’re panicking about your $TSLA position, you should probably spend more time researching Tesla. The more you know, the easier it is to hold.",
13794,2022-04-26,"I'm going to reread tesla's earnings report, who cares if Elon has to sell some stock, that means more for us... I don't think he is going to sell his tesla stock to finance twitter, but certainly use it as collateral. $TSLA",
13795,2022-04-26,"One week ago $TSLA hit $1,077. Today we closed at $876. Ask yourself - has anything changed between then and now that rationally describes this move?",
13796,2022-04-26,"Buys Twitter for $44 Billion, losess a $100 Billion the very next day
$TSLA https://t.co/Nb9bLHBC9z",
13797,2022-04-26,"“I cannot take your philanthropy on climate change seriously when you have a massive short position against Tesla,” said Musk.

@ElonMusk says he confronted fellow @BillGates over the billionaire’s supposed holding of some $500 million in @Tesla shorts. https://t.co/NTzEB6OOMR",
13798,2022-04-26,I’m cracking my knuckles. Gonna be buying a lot of $TSLA,
13799,2022-04-26,"Guys, calm down. I'm still a long term bull on $TSLA and still think it will recover eventually. However, Elon buying Twitter was the dumbest move and even experts think it was odd and dumb. The stock today proved me correct.",
13800,2022-04-26,Today was brutal. Paper loss of over $300k $TSLA,
13801,2022-04-26,Was today the single biggest valuation drop in $TSLA history?,
13802,2022-04-26,The nonsense and conjecture around tesla have become silly.  Tesla under $1000. Gift. $tsla,
13803,2022-04-26,I'd bet money Cathie unloaded a bunch of $TSLA today.,
13804,2022-04-26,FT $TSLA article for those who can’t see past the paywall. https://t.co/kFn3iC0hZ0,
13805,2022-04-26,"+$22,633.30 on the day🔥

📈Traded $TSLA puts &amp; $SPY puts https://t.co/npSHlCpEpf",
13806,2022-04-26,When does @Tesla aim to be producing 100k Cybertruck/year? @elonmusk https://t.co/q5wtAhCBhf,
13807,2022-04-26,"I am concerned that Twitter, now owned by @ElonMusk, will be excessively used by China to spread propaganda denying / whitewashing its ongoing #UyghurGenocide in East Turkistan. Musk is failing to condemn China’s ongoing GENOCIDE of Uyghurs because of @Tesla’s business in China. https://t.co/HentgEzilS",
13808,2022-04-26,$F CEO wants to challenge $TSLA as global EV leader,
13809,2022-04-26,"$TSLA valuation slides more than $110B after Elon Musk’s Twitter deal on fears CEO will sell down TSLA stake to finance purchase.
 https://t.co/jtOuleOtwH",
13810,2022-04-26,"If NASDAQ doesn't bounce off the 12,550, we're all in for some pain. $TSLA",
13811,2022-04-26,Friends are calling me panicked about $TSLA. They’re asking me if I’m selling 🤦‍♂️,
13812,2022-04-26,Tesla has the best risk/reward ratio in its history and in the market $tsla,
13813,2022-04-26,"When you make $20,000 But It Won’t Sell😨 $TSLA https://t.co/WFqqQc89md",
13814,2022-04-26,"Hey @elonmusk Last year you gave @NIOGlobal a shoutout after production of 100,000 cars. How about another for 200,000? @tesla @_mm85 @NioBull1 @ahern_brendan @HkanGrahn1 https://t.co/sLkXiYOfwn",
13815,2022-04-26,Today I made my first 6 figure trade with $TSLA 🥳🥳🥳🥳 we’re going to Bahamas 🇧🇸,
13816,2022-04-26,"Bought some more $TSLA at $888

Good deal. And lucky number in China",
13817,2022-04-26,"Cybertruck production next year!🏭
@Tesla @elonmusk https://t.co/lOfzezvnqE",
13818,2022-04-26,"Wird Zeit,oder? #cybertr #cybertruck ready for delivery 😉@Tesla https://t.co/4kVQhApEOG",
13819,2022-04-26,"@SawyerMerritt @Tesla How on Earth could any EV fan have watched this and not be excited? You don’t have to like Ford, but pretending this isn’t a massive watershed moment for EV transition is just silly. 

The amount of people who won’t buy a Tesla, but might be convinced by this is tremendous.",
13820,2022-04-26,Jim Farley spewing lies on CNBC right now. @Lebeaucarnews hitting him with great questions. Bravo. $TSLA,
13821,2022-04-26,"For those asking, today’s $TSLA Stephenson Indicator™️ is $969.63 and it will be $974.70 on Friday.

Not trading advice. Do your own research. Technical analysis is phrenology. Etc.

https://t.co/BOwrHeS7Zg https://t.co/xdCwSDan8a",
13822,2022-04-26,Market is trashing all tech stocks not just $TSLA. But it’s fair to say investors are worried $TWTR deal won’t be completed if TSLA stock falls too much. @elonmusk can squash the selling pressure simply by saying he doesn’t intend to sell any TSLA shares to pay for his TWTR deal.,
13823,2022-04-26,"Short $TSLA for 3,000 shares at $890. https://t.co/0N1IRR2MQU",
13824,2022-04-26,Ford CEO: We plan to challenge @Tesla and all comers to become the top EV maker in the world. https://t.co/HDJsMisLjA,
13825,2022-04-26,"I’m loaded under $1000. 

$TSLA #Tesla",
13826,2022-04-26,@TeslaAndDoge 0 for 3 but somehow we should believe you are right about $TSLA? https://t.co/BRehNAKsOk,
13827,2022-04-26,Elon's purchase of Twitter may go down as the worst decision he made in the history of his and $TSLA's success.,
13828,2022-04-26,"With $TSLA down 11% today this Tweet was very prescient. But this drop is just the beginning. The stock may bounce, but that's just another opportunity to sell. The $TWTR buy is a gift to the shorts. They smell blood and are on the attack.",
13829,2022-04-26,"Tesla market cap is down today by more than twice the amount of money Elon Musk paid for Twitter.
$TSLA $TSLAQ $TWTR",
13830,2022-04-26,"I became $TSLA bear at 1100. 

Now I will buy $TSLA at 860. 

Now 880. 

Don’t let me forget.

When folks say I am wrong 😑 that’s when I know I am right 😊",
13831,2022-04-26,Sometimes you have to accept being called crazy and trust the process 🥂 $TSLA https://t.co/fb5Nm8Kg9x,
13832,2022-04-26,"A totally ridiculous sell-off in $tsla today, driven by emotion and certainly accelerated by short-sellers to profit from it

Emotional sell-offs in fundamentally strong and undervalued stocks are great buying opportunities",
13833,2022-04-26,"The lower $TSLA goes, the stronger my conviction gets.",
13834,2022-04-26,"$TSLA investors: 
- plays with $500k of $TSLA like nothing,
- see a shirt for $20 and be like ""nah, too expensive""",
13835,2022-04-26,Tesla PE now 75 based on $12 earnings estimates for 2022. $TSLA,
13836,2022-04-26,$TSLA at new lows as markets somewhat recover.,
13837,2022-04-26,"Extreme fear!

If $GOOGL &amp; $MSFT ERs come out more like $TSLA's, not $NFLX's, we should see a big reverse tmrw.",
13838,2022-04-26,"Simple math for the dumb nuts out there. 

Take Q1 2022 earnings, divide it by today’s stock price. 

You’ll get a PE ~69. 

This is massively cheap for a company growing +60% per year for many years to come. 

Stay level headed!

$TSLA #Tesla",
13839,2022-04-26,IMHO $TSLA falling on trader /shorts speculation fueled by the media that Elon will have to sell some TSLA shares to come up with $21B equity for $TWTR deal since he gave no detail on how he would raise the $21B in his revised 13D filing last night. Doesn’t make it true. https://t.co/U6wWHCCr46,
13840,2022-04-26,Are you buying $TSLA today?,
13841,2022-04-26,"*TESLA INC SHARES EXTEND LOSSES, NOW DOWN 10.2%

$TSLA",
13842,2022-04-26,"Take the hits Tesla investors!

The best days are still ahead of us. 

If you can’t handle the red days, you don’t deserve the green days. 

$TSLA #Tesla",
13843,2022-04-26,"HOW @elonmusk IS FUNDING THE TWITTER DEAL $TWTR 

$21 BILLION IN EQUITY FINANCING FROM ELON MUSK

$12.5 BILLION  FROM ELON MUSK'S TESLA  $TSLA SHARES PUT UP COLLATERAL 

$7 BILLION IN SECURED LOANS BY FUTURE TWITTER CASH FLOW

$6 BILLION IN UNSECURED LOANS",
13844,2022-04-26,"There is no danger to groundwater from #GigaBerlinBrandenburg.
The State Environmental Agency confirms this, as can be seen from the notice of approval that has been on public display since today.
@Tesla complies with all safety requirements. 
https://t.co/N7DcPuVfYm https://t.co/0KRCexCeZm",
13845,2022-04-26,"IA #OCTA discussing money flows, impact on #Bitcoin price, some crypto and market and real estate updates from la playa - live in 10 mins $TSLA $NFLX #Ethereum  https://t.co/Nl7tO06sz1 https://t.co/jyciQ0hDpR",
13846,2022-04-26,"ARK Innovation ETF Top Holdings, % Below High:
$TSLA: -27%
$ZM: -83%
$ROKU: -81%
$TDOC: -80%
$COIN: -64%
$SQ: -64%
$EXAS: -61%
$U: -63%
$TWLO: -73%
$CRSP: -74%
$PATH: -78%
$SPOT: -70%
$NTLA: -71%
$SHOP: -74%
$BEAM: -69%
$PD: -47%
$FATE: -71%
$DKNG: -80%
$HOOD: -86%
$SGFY: -61%",
13847,2022-04-26,Do you think @Tesla should now accept #KISHU as payment?! 👀 https://t.co/yfh4cprHpr,
13848,2022-04-26,"I could wonder if this sell-off today was also intentional. I mean, Elon is at lest risk when $TSLA sold off once financing is secured. So, why not cause the sell-off first to limit the risk and have better chance to send it higher when that risk is removed. Speculation but hmmm.",
13849,2022-04-26,"Now people know why I get so pissed about $TSLA. I mean how many times have we gone up only to come down further. How many times can get get great news and earnings only to have it chopped again. It's a vicious cycle and irritating that it can't be an ""investment"" these days.",
13850,2022-04-26,"Elon buys $TWTR for $44B, the next day $TSLA loses $105B in market-cap...🤯",
13851,2022-04-26,It's a good thing no one owns $TSLA in #Quad4,
13852,2022-04-26,Bill checking his $TSLA short today 🫃💰 https://t.co/YIJGvGAGGo,
13853,2022-04-26,"If $TSLA does $20 in EPS in the next 12 months, 

at $894/share,

we’re at a forward PE of 45.",
13854,2022-04-26,"$TSLA volatility is the gift that keeps on giving for those who know what to do.

If you want to build a sizable long-term position, you need patience and the fortitude to act when there's major pessimism. I see way too many people showing off their buys during euphoric highs.",
13855,2022-04-26,"Now that I think about it, buying $TWTR was that magic trigger all bears craved for years for a down 10% $TSLA day, but they were all looking at car sales…and margins…and all sort of irrelevant stuff..",
13856,2022-04-26,@dl_chronicles @shaunking @elonmusk @Tesla Why would anyone hire employees based by race? You hire an employee who has the best KNOWLEDGE and EDUCATION regarding the job.,
13857,2022-04-26,$700 Jun 2024 $TSLA call leap secured ✅,
13858,2022-04-26,"Notice now CNBC ONLY focuses on the money Elon has going out (for loans) than all the options he has coming in which in itself, finance most of $TWTR deal. They are sneaky mother fuc!ers. They only want you to hear the negative, not the positive. $TSLA https://t.co/OjJuKX1k7W",
13859,2022-04-26,"Once again, $TSLA is the equity options market. https://t.co/L9LYCnE3cj",
13860,2022-04-26,"Remember when (last year) the NASDAQ would shed 400 points over the course of maybe 2 months or so. Now, it does it in just hours. The volatility is insane recently. Down shed 2,000 points in 3 sessions. It sometimes took a year to do that before. $TSLA",
13861,2022-04-26,Did anyone think after the incredible earnings from $TSLA we'd be at $900 today? Shocking. Even with macro it's shocking.,
13862,2022-04-26,"$TSLA literally destroyed earnings estimates, and now it’s down 15%. It’s P/E is gonna be under 100, for a company growing at 50%. If this ain’t a buying opportunity, then I know nothing about investing.",
13863,2022-04-26,I believe that ultimately $TSLA will be valued on its strong earnings &amp; unparalleled growth prospects,
13864,2022-04-26,A view of the Fed members as they watch the markets today. $TSLA https://t.co/4Vl0TpwSpN,
13865,2022-04-26,"$TSLA has now underperformed the S&amp;P500 by 3% so far this year and all it took was:

Blowout Q1 deliveries
Blowout Q2 reported earnings
Promised 50% growth forever
World changing robots this year
L5 autonomy this year again

Hope nothing ever goes wrong.",
13866,2022-04-26,Imagine just waking up and checking $TSLA and seeing its down 9% 💀,
13867,2022-04-26,"Leave money in bank account and lose 8% in a year to inflation

or leave money in $TSLA and lose 9% in a day? 🤔 https://t.co/B66NWQ3pni",
13868,2022-04-26,$TSLA down around $90B in value today. $TWTR deal valued around $43B. Elon cost himself over 2 twitters today. https://t.co/bhbM0wy4K4,
13869,2022-04-26,"Retweeting. The $21B question:  Where will @elonmusk get the $21B equity needed to complete the $TWTR purchase?  Three options: 1/ equity investors (including public SHS who want to roll); 2/ Selling down stakes in $TSLA or SpaceX; 3/ Other liquid assets - #BTC, Ethereum, cash https://t.co/pywsUNKzOX",
13870,2022-04-26,"$QQQ down 3%
$TSLA down 10%
$AMZN down 4% 

I give direction, just don’t piss against the wind. https://t.co/WpEO8CevUz",
13871,2022-04-26,This guy needs to be squeezed. Don't let Billy win. $TSLA https://t.co/NZYuEdN5EF,
13872,2022-04-26,I also think that Elon is smart enough to invite other investors in to help fund the $20B of equity needed so he didn't have to take on all the risk himself and put his $TSLA shares at higher risk. There are many unanswered questions. Hopefully we find out details soon.,
13873,2022-04-26,Tesla is now trading at 79x annualized Q1 earnings. $TSLA,
13874,2022-04-26,Me not adding $TSLA puts today https://t.co/eIzPm7ue2s,
13875,2022-04-26,"If Elon Musk is selling $TSLA shares, that means Gary Black adds an ""Elon Musk stops selling Tesla shares"" as a new catalyst shortly.",
13876,2022-04-26,"I don't know what is causing this sell off. Yes, the macro is getting fuc!ed today as is all tech. But it's suspect with the volume sells at the open and the continued sell on high volume. $TSLA doesn't just lose 9.5% for no reason. I hope he wasn't selling. We'll know in 2 days.",
13877,2022-04-26,This selling off of $TSLA is pretty silly. I'm buying the $904. Screw it. Go big or go home.,
13878,2022-04-26,@shaunking @Tesla @elonmusk Elon would like to thank you for using his platform. Have a great day!,
13879,2022-04-26,$TSLA is down over 9% today,
13880,2022-04-26,Buy time! $tsla 🥱,
13881,2022-04-26,@shaunking @Tesla @elonmusk I see the white guy claiming to be black is back at Titter again.,
13882,2022-04-26,@shaunking @Tesla @elonmusk If people had thicker skins @shaunking would not have a job.,
13883,2022-04-26,"@shaunking @elonmusk @Tesla Shaun, thanks for a morning of laughs without the two drink minimum.",
13884,2022-04-26,"WHAT IS THE SAFE WORD?! 🛑 ✋ 
$TSLA",
13885,2022-04-26,"BUT - Tesla's own rules on director/officer share pledges is actually stricter and imposes its own max level at 25% LTV. (Below is from the 2021 proxy statement). 

Under this requirement only a 20% decrease in $TSLA price would trigger a call. Much smaller cushion https://t.co/ltGdWi1V20",
13886,2022-04-26,"Interesting tidbits on the Musk margin loan... The terms of the margin loan are 20% initial LTV with a 35% margin call level. This means that for a $12.5B loan, Musk must pledge $62.5B worth of $TSLA based on share price at closing, and gets called if TSLA drops ~43%.",
13887,2022-04-26,"It’s what you do during times of panic that will determine how strong your seeds grow when the sun comes out. 

$TSLA #Tesla",
13888,2022-04-26,Congrats to everyone with cash on hand capitalizing on today’s $TSLA fire sale. Jealous.,
13889,2022-04-26,@shaunking @elonmusk @Tesla You lasted less than 24h without using his platform. Congratulations Mr. King!,
13890,2022-04-26,@shaunking @elonmusk @Tesla Oh look Talcum X is Back ..,
13891,2022-04-26,I'll load some at $890. Should be there in about 10 min. $TSLA,
13892,2022-04-26,"@shaunking @elonmusk @Tesla Mmmmm. Actually, since he now owns Twitter, @elonmusk is really YOUR King, when you think about it. Yessss…. 👑",
13893,2022-04-26,@shaunking @elonmusk @Tesla Should have gone to bed and slept on this before tweeting this out lol,
13894,2022-04-26,"@shaunking @elonmusk @Tesla Children are not always direct reflections of their parents.

For example, you have two white parents but identify as black.",
13895,2022-04-26,@shaunking @elonmusk @Tesla Hahahah ur really still here??!!😂😂😂🤣🤣🤣🤣🤣,
13896,2022-04-26,"These kinds of sell offs happen. 📉 

The key is staying level headed, patient, and focused on what’s happening inside the business. 

Is there a demand issue? 
Is there a product issue?
Is management losing focus?
How are the financials?

All of these are a NO.

BTFD. 🔥

$TSLA",
13897,2022-04-26,@smimic12 @shaunking @elonmusk @Tesla Apparently his quitting Twitter was as authentic as his claimed race,
13898,2022-04-26,@shaunking @elonmusk @Tesla Ratio,
13899,2022-04-26,"@shaunking @elonmusk @Tesla Trying hard there, mate. Just reach a little…bit…further…",
13900,2022-04-26,This could get interesting if $TSLA keeps falling. Musk is taking on a lot of margin debt to push this deal through and the cushion is already thinning.,
13901,2022-04-26,I doubt Elon would sell $tsla in the same haphazard manner he did last time - he would sell via block trade through MS since he’s paying them already. I also doubt Elon would sell before he has to (at least wait until after 10:1 split). Deal won’t close for several months. $twtr,
13902,2022-04-26,@shaunking @elonmusk @Tesla bwahahahahahaha you are already back?,
13903,2022-04-26,@shaunking @elonmusk @Tesla Weren't you leaving bro 😂😂,
13904,2022-04-26,@shaunking @elonmusk @Tesla I knew it was too good to be true. You weren’t going anywhere. No other place to spew your hate,
13905,2022-04-26,$TSLA earnings now meaningless. Sad.,
13906,2022-04-26,"@shaunking @elonmusk @Tesla Wait, you’re still here?",
13907,2022-04-26,@shaunking @elonmusk @Tesla He's a better man than you,
13908,2022-04-26,"@shaunking @elonmusk @Tesla You have no idea, yet speak like you do",
13909,2022-04-26,"$TSLA aggressive price action on elevated volume and major support break = size up. Took advantage of it today. +$3,875 in the first hour of trading! #trading https://t.co/PB1pO72GrU",
13910,2022-04-26,@shaunking @elonmusk @Tesla Ahhahahaha you’re back?! Already?! 😂😂😂😂,
13911,2022-04-26,@shaunking @elonmusk @Tesla I don’t recall anyone calling him king,
13912,2022-04-26,Elon getting a margin call on day 1 already? $TSLA https://t.co/wOG9nsRypI,
13913,2022-04-26,"What happens to $TSLA today? A spark of sanity?

I remember as if it were yesterday that @Tesla cultists were mocking me for being critical of the company.

Oh wait, it *WAS* yesterday!

$TSLAQ https://t.co/p2WdjK55wF",
13914,2022-04-26,Looks like media was right. Elon is dumping shares of $TSLA. This is an exact carbon-copy of what happened before.,
13915,2022-04-26,"At this rate, $TSLA will be under $900 by mid-morning.",
13916,2022-04-26,"$TSLA
Covered all , 920 support zone
50 pts from 973 break (See timestamped tweet below)
Simple Support Resistance trade no Magic Formula 
#tradingtips https://t.co/MTP5jmtjQK",
13917,2022-04-26,"FOR ELON MUSK TO GET A 20 BILLION LOAN AGAINST HIS $TSLA SHARES HE NEEDS TO PUT UP 100 BILLION WORTH OF HIS SHARES 

SEEMS LIKE ELON IS GONNA BE WAY TO OVER LEVERAGED ON THIS https://t.co/Pxd7KaTVIU",
13918,2022-04-26,This is Elon. Too high volume bars on the sell side. And just think if this has to happen 20 more times to get the equity. $TSLA,
13919,2022-04-26,"$TSLA 936 dollar target achieved 😊 

I was THE only one AFAIK who said I cannot buy $TSLA after it’s earnings 

This was at 1100 

Now 900 

Read all about it on my website below 👇 

Join if for more dope like this 

https://t.co/ILXiW73IKJ",
13920,2022-04-26,$TSLA bloodbath today. Unusual for it to be down almost 7% on no news. Even macro.,
13921,2022-04-26,"$TSLA drops 6.4% after a Bloomberg markets writer suggests Tesla is NEXT to drop like Facebook, Nvidia, &amp; Netflix stock because ""90% of Tesla's revenue comes from making cars [...] That's not very diversified"" &amp; fears that Twitter will distract Musk.

Okay, thx for the discount. https://t.co/AIZgQtqmfR",
13922,2022-04-26,Woke up to this beauty parked next to my $TSLA $LCID https://t.co/fJZzuj6IuX,
13923,2022-04-26,Bought some at $944's. What the hell. $TSLA,
13924,2022-04-26,WTF just happened to $TSLA? https://t.co/1Bj0vnZveW,
13925,2022-04-26,This action looks just like when Elon was selling last time. $TSLA,
13926,2022-04-26,"Maybe we should all go back to bed. 📉

$TSLA #Tesla https://t.co/CbYywL6VZW",
13927,2022-04-26,Did Elon start selling already? Geez. $TSLA,
13928,2022-04-26,"Musk has agreed to take out a $12.5 billion margin loan, secured against his stock of Tesla, $TSLA, to pay for some of the $33.5 billion equity check for Twitter, $TWTR.

If Tesla’s stock to drop by 40%, he would have to repay that loan, a regulatory filing has shown.",
13929,2022-04-26,"This Twitter deal will wipe Musk out.

He's borrowing HEAVILY in LTV terms against $TSLA stock that will literally be down 95% before this bear market is over (and, at $50/share/$55 billion the company would STILL be grossly overvalued).

He's DONE, slow-motion train wreck style.",
13930,2022-04-26,"I don't own a @Tesla yet @elonmusk , but my golf cart is electric..... Baby steps... https://t.co/R1zoFU0uMA",
13931,2022-04-26,"@squawksquare The deadline for companies on a 12/31 calendar year to file 2022 proxy statements is Mon 5/2/2022. While that can be extended, the TWTR purchase now offers an incentive for Elon to keep TSLA stock price high for the margin loan and equity piece if he decides to sell $TSLA shares.",
13932,2022-04-26,Many rumors floating around the $TSLA space this morning signaling a 20:1 stock split coming. Pure speculation but I would love to see a 20:1 as stated when I heard the news.,
13933,2022-04-26,All this talk about Elon &amp; Twitter has been fun but can we get back to talking about just how unbelievable Q3/Q4 will be &amp; how $TSLA will at least double from where it is today by then? 😊,
13934,2022-04-26,"A reminder that the Cybercuck was revealed on Nov 21, 2019, 887 days ago.

Total cumulative Cybercuck production: 0.

""Where's the competition? Where's the competition?"" bleat the Teslemming sheeple.

$TSLA https://t.co/dPZ937Ij0p",
13935,2022-04-26,"Now that we know more of the details of Elon's loan (not sale of any $TSLA shares), we may see Elon do whatever he can to keep shares of Tesla above $1,000 or send it even higher to never have to worry about the bank selling a single share in future. Would be last thing he'd want",
13936,2022-04-26,Let's make some money! $TSLA,
13937,2022-04-26,"Fun read. Strong opening, clear demonstration of Elon's character, values and belief in a democratic process. A great peek behind the scenes.

$TSLA $TWTR #ElonMusk https://t.co/xcMZFYXX1s",
13938,2022-04-26,"Check out the terms of Mr. Fraudsperger's margin loan...

If I'm reading this right, he must initially pledge $TSLA shares equal to 5x the loan value! That shows you how much confidence Jonas's employer has in his bulllshit price target, lol... https://t.co/BJ8C4voKEB",
13939,2022-04-26,Yesterday's and today's pre-market $tsla moves prove that all those speculating that a takeover by Elon Musk of Twitter will have a negative impact on the Tesla stock are wrong,
